Entity,Continent,Average temperature per year,Hospital beds per 1000 people,Medical doctors per 1000 people,GDP/Capita,Population,Median age,Population aged 65 and over (%),Date,Daily tests,Cases,Deaths,Daily cases,Daily deaths,Season
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-02-25,8.0,0.0,0.0,0,0,Winter
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-02-26,5.0,0.0,0.0,0,0,Winter
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-02-27,4.0,0.0,0.0,0,0,Winter
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-02-28,1.0,0.0,0.0,0,0,Winter
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-02-29,8.0,0.0,0.0,0,0,Winter
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-03-01,3.0,0.0,0.0,0,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-03-02,2.0,0.0,0.0,0,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-03-03,5.0,0.0,0.0,0,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-03-04,6.0,0.0,0.0,0,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-03-05,8.0,0.0,0.0,0,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-03-06,3.0,0.0,0.0,0,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-03-07,5.0,0.0,0.0,0,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-03-08,1.0,0.0,0.0,0,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-03-09,18.0,2.0,0.0,2,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-03-10,37.0,10.0,0.0,8,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-03-11,43.0,12.0,1.0,2,1,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-03-12,141.0,23.0,1.0,11,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-03-13,159.0,33.0,1.0,10,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-03-14,48.0,38.0,1.0,5,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-03-15,27.0,42.0,1.0,4,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-03-16,31.0,51.0,1.0,9,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-03-17,42.0,55.0,1.0,4,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-03-18,60.0,59.0,2.0,4,1,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-03-19,32.0,64.0,2.0,5,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-03-20,35.0,70.0,2.0,6,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-03-21,46.0,76.0,2.0,6,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-03-22,33.0,89.0,2.0,13,0,Spring
Albania,Europe,14,2.89,1.29,5353.2,2873457,38,14,2020-03-25,111.0,146.0,5.0,57,3,Spring
